Ref_Date,GEO,Geographical classification,SEX,CAUSES,UNIT,Vector,Coordinate,Value
1996,Canada,0,Both sexes,All other respiratory diseases,Mortality,v2007327,1.1.14.1,30.3
1996,Canada,0,Both sexes,All other respiratory diseases,"Low 95% confidence interval, mortality",v2007328,1.1.14.2,30.0
1996,Canada,0,Both sexes,All other respiratory diseases,"High 95% confidence interval, mortality",v2007329,1.1.14.3,30.7
1996,Canada,0,Both sexes,Unintentional injuries,Mortality,v2007330,1.1.15.1,27.7
1996,Canada,0,Both sexes,Unintentional injuries,"Low 95% confidence interval, mortality",v2007331,1.1.15.2,27.3
1996,Canada,0,Both sexes,Unintentional injuries,"High 95% confidence interval, mortality",v2007332,1.1.15.3,28.0
1996,Canada,0,Both sexes,Suicides and self-inflicted injuries,Mortality,v2007333,1.1.16.1,12.9
1996,Canada,0,Both sexes,Suicides and self-inflicted injuries,"Low 95% confidence interval, mortality",v2007334,1.1.16.2,12.6
1996,Canada,0,Both sexes,Suicides and self-inflicted injuries,"High 95% confidence interval, mortality",v2007335,1.1.16.3,13.1
1996,Canada,0,Both sexes,Human immunodeficiency virus (HIV) infection,Mortality,v2007336,1.1.17.1,4.0
1996,Canada,0,Both sexes,Human immunodeficiency virus (HIV) infection,"Low 95% confidence interval, mortality",v2007337,1.1.17.2,3.9
1996,Canada,0,Both sexes,Human immunodeficiency virus (HIV) infection,"High 95% confidence interval, mortality",v2007338,1.1.17.3,4.2
1996,Canada,0,Males,"Total, all causes of death",Mortality,v2007339,1.2.1.1,861.8
1996,Canada,0,Males,"Total, all causes of death","Low 95% confidence interval, mortality",v2007340,1.2.1.2,858.9
1996,Canada,0,Males,"Total, all causes of death","High 95% confidence interval, mortality",v2007341,1.2.1.3,864.6
1996,Canada,0,Males,All malignant neoplasms (cancers),Mortality,v2007342,1.2.2.1,235.3
1996,Canada,0,Males,All malignant neoplasms (cancers),"Low 95% confidence interval, mortality",v2007343,1.2.2.2,233.8
1996,Canada,0,Males,All malignant neoplasms (cancers),"High 95% confidence interval, mortality",v2007344,1.2.2.3,236.8
1996,Canada,0,Males,Colorectal cancer,Mortality,v2007345,1.2.3.1,24.4
1996,Canada,0,Males,Colorectal cancer,"Low 95% confidence interval, mortality",v2007346,1.2.3.2,23.9
1996,Canada,0,Males,Colorectal cancer,"High 95% confidence interval, mortality",v2007347,1.2.3.3,24.9
1996,Canada,0,Males,Lung cancer,Mortality,v2007348,1.2.4.1,72.0
1996,Canada,0,Males,Lung cancer,"Low 95% confidence interval, mortality",v2007349,1.2.4.2,71.2
1996,Canada,0,Males,Lung cancer,"High 95% confidence interval, mortality",v2007350,1.2.4.3,72.8
1996,Canada,0,Males,Female breast cancer,Mortality,v2007351,1.2.5.1,0.0
1996,Canada,0,Males,Female breast cancer,"Low 95% confidence interval, mortality",v2007352,1.2.5.2,0.0
1996,Canada,0,Males,Female breast cancer,"High 95% confidence interval, mortality",v2007353,1.2.5.3,0.0
1996,Canada,0,Males,Prostate cancer,Mortality,v2007354,1.2.6.1,29.7
1996,Canada,0,Males,Prostate cancer,"Low 95% confidence interval, mortality",v2007355,1.2.6.2,29.1
1996,Canada,0,Males,Prostate cancer,"High 95% confidence interval, mortality",v2007356,1.2.6.3,30.2
1996,Canada,0,Males,Circulatory diseases,Mortality,v2007357,1.2.7.1,316.7
1996,Canada,0,Males,Circulatory diseases,"Low 95% confidence interval, mortality",v2007358,1.2.7.2,314.9
1996,Canada,0,Males,Circulatory diseases,"High 95% confidence interval, mortality",v2007359,1.2.7.3,318.4
1996,Canada,0,Males,Ischaemic heart diseases,Mortality,v2007360,1.2.8.1,188.2
1996,Canada,0,Males,Ischaemic heart diseases,"Low 95% confidence interval, mortality",v2007361,1.2.8.2,186.8
1996,Canada,0,Males,Ischaemic heart diseases,"High 95% confidence interval, mortality",v2007362,1.2.8.3,189.5
1996,Canada,0,Males,All other circulatory diseases,Mortality,v2007363,1.2.9.1,74.8
1996,Canada,0,Males,All other circulatory diseases,"Low 95% confidence interval, mortality",v2007364,1.2.9.2,73.9
1996,Canada,0,Males,All other circulatory diseases,"High 95% confidence interval, mortality",v2007365,1.2.9.3,75.7
1996,Canada,0,Males,Cerebrovascular diseases,Mortality,v2007366,1.2.10.1,53.7
1996,Canada,0,Males,Cerebrovascular diseases,"Low 95% confidence interval, mortality",v2007367,1.2.10.2,52.9
1996,Canada,0,Males,Cerebrovascular diseases,"High 95% confidence interval, mortality",v2007368,1.2.10.3,54.5
1996,Canada,0,Males,Respiratory diseases (excluding infectious and parasitic diseases),Mortality,v2007369,1.2.11.1,86.2
1996,Canada,0,Males,Respiratory diseases (excluding infectious and parasitic diseases),"Low 95% confidence interval, mortality",v2007370,1.2.11.2,85.2
1996,Canada,0,Males,Respiratory diseases (excluding infectious and parasitic diseases),"High 95% confidence interval, mortality",v2007371,1.2.11.3,87.1
1996,Canada,0,Males,Pneumonia and influenza,Mortality,v2007372,1.2.12.1,31.1
1996,Canada,0,Males,Pneumonia and influenza,"Low 95% confidence interval, mortality",v2007373,1.2.12.2,30.5
1996,Canada,0,Males,Pneumonia and influenza,"High 95% confidence interval, mortality",v2007374,1.2.12.3,31.7
1996,Canada,0,Males,"Bronchitis, emphysema and asthma",Mortality,v2007375,1.2.13.1,8.7
1996,Canada,0,Males,"Bronchitis, emphysema and asthma","Low 95% confidence interval, mortality",v2007376,1.2.13.2,8.4
1996,Canada,0,Males,"Bronchitis, emphysema and asthma","High 95% confidence interval, mortality",v2007377,1.2.13.3,9.0
1996,Canada,0,Males,All other respiratory diseases,Mortality,v2007378,1.2.14.1,46.4
1996,Canada,0,Males,All other respiratory diseases,"Low 95% confidence interval, mortality",v2007379,1.2.14.2,45.7
1996,Canada,0,Males,All other respiratory diseases,"High 95% confidence interval, mortality",v2007380,1.2.14.3,47.1
1996,Canada,0,Males,Unintentional injuries,Mortality,v2007381,1.2.15.1,38.3
1996,Canada,0,Males,Unintentional injuries,"Low 95% confidence interval, mortality",v2007382,1.2.15.2,37.7
1996,Canada,0,Males,Unintentional injuries,"High 95% confidence interval, mortality",v2007383,1.2.15.3,38.9
1996,Canada,0,Males,Suicides and self-inflicted injuries,Mortality,v2007384,1.2.16.1,20.8
1996,Canada,0,Males,Suicides and self-inflicted injuries,"Low 95% confidence interval, mortality",v2007385,1.2.16.2,20.4
1996,Canada,0,Males,Suicides and self-inflicted injuries,"High 95% confidence interval, mortality",v2007386,1.2.16.3,21.2
1996,Canada,0,Males,Human immunodeficiency virus (HIV) infection,Mortality,v2007387,1.2.17.1,7.4
1996,Canada,0,Males,Human immunodeficiency virus (HIV) infection,"Low 95% confidence interval, mortality",v2007388,1.2.17.2,7.1
1996,Canada,0,Males,Human immunodeficiency virus (HIV) infection,"High 95% confidence interval, mortality",v2007389,1.2.17.3,7.6
1996,Canada,0,Females,"Total, all causes of death",Mortality,v2007390,1.3.1.1,526.3
1996,Canada,0,Females,"Total, all causes of death","Low 95% confidence interval, mortality",v2007391,1.3.1.2,524.5
1996,Canada,0,Females,"Total, all causes of death","High 95% confidence interval, mortality",v2007392,1.3.1.3,528.2
1996,Canada,0,Females,All malignant neoplasms (cancers),Mortality,v2007393,1.3.2.1,151.9
1996,Canada,0,Females,All malignant neoplasms (cancers),"Low 95% confidence interval, mortality",v2007394,1.3.2.2,150.8
1996,Canada,0,Females,All malignant neoplasms (cancers),"High 95% confidence interval, mortality",v2007395,1.3.2.3,152.9
1996,Canada,0,Females,Colorectal cancer,Mortality,v2007396,1.3.3.1,15.7
1996,Canada,0,Females,Colorectal cancer,"Low 95% confidence interval, mortality",v2007397,1.3.3.2,15.4
1996,Canada,0,Females,Colorectal cancer,"High 95% confidence interval, mortality",v2007398,1.3.3.3,16.0
1996,Canada,0,Females,Lung cancer,Mortality,v2007399,1.3.4.1,32.5
1996,Canada,0,Females,Lung cancer,"Low 95% confidence interval, mortality",v2007400,1.3.4.2,32.0
1996,Canada,0,Females,Lung cancer,"High 95% confidence interval, mortality",v2007401,1.3.4.3,33.0
1996,Canada,0,Females,Female breast cancer,Mortality,v2007402,1.3.5.1,28.3
1996,Canada,0,Females,Female breast cancer,"Low 95% confidence interval, mortality",v2007403,1.3.5.2,27.9
1996,Canada,0,Females,Female breast cancer,"High 95% confidence interval, mortality",v2007404,1.3.5.3,28.8
1996,Canada,0,Females,Prostate cancer,Mortality,v2007405,1.3.6.1,0.0
1996,Canada,0,Females,Prostate cancer,"Low 95% confidence interval, mortality",v2007406,1.3.6.2,0.0
1996,Canada,0,Females,Prostate cancer,"High 95% confidence interval, mortality",v2007407,1.3.6.3,0.0
1996,Canada,0,Females,Circulatory diseases,Mortality,v2007408,1.3.7.1,192.7
1996,Canada,0,Females,Circulatory diseases,"Low 95% confidence interval, mortality",v2007409,1.3.7.2,191.6
1996,Canada,0,Females,Circulatory diseases,"High 95% confidence interval, mortality",v2007410,1.3.7.3,193.8
1996,Canada,0,Females,Ischaemic heart diseases,Mortality,v2007411,1.3.8.1,97.3
1996,Canada,0,Females,Ischaemic heart diseases,"Low 95% confidence interval, mortality",v2007412,1.3.8.2,96.5
1996,Canada,0,Females,Ischaemic heart diseases,"High 95% confidence interval, mortality",v2007413,1.3.8.3,98.1
1996,Canada,0,Females,All other circulatory diseases,Mortality,v2007414,1.3.9.1,51.1
1996,Canada,0,Females,All other circulatory diseases,"Low 95% confidence interval, mortality",v2007415,1.3.9.2,50.6
1996,Canada,0,Females,All other circulatory diseases,"High 95% confidence interval, mortality",v2007416,1.3.9.3,51.7
1996,Canada,0,Females,Cerebrovascular diseases,Mortality,v2007417,1.3.10.1,44.3
1996,Canada,0,Females,Cerebrovascular diseases,"Low 95% confidence interval, mortality",v2007418,1.3.10.2,43.8
1996,Canada,0,Females,Cerebrovascular diseases,"High 95% confidence interval, mortality",v2007419,1.3.10.3,44.8
1996,Canada,0,Females,Respiratory diseases (excluding infectious and parasitic diseases),Mortality,v2007420,1.3.11.1,44.3
1996,Canada,0,Females,Respiratory diseases (excluding infectious and parasitic diseases),"Low 95% confidence interval, mortality",v2007421,1.3.11.2,43.7
1996,Canada,0,Females,Respiratory diseases (excluding infectious and parasitic diseases),"High 95% confidence interval, mortality",v2007422,1.3.11.3,44.8
1996,Canada,0,Females,Pneumonia and influenza,Mortality,v2007423,1.3.12.1,18.8
1996,Canada,0,Females,Pneumonia and influenza,"Low 95% confidence interval, mortality",v2007424,1.3.12.2,18.5
1996,Canada,0,Females,Pneumonia and influenza,"High 95% confidence interval, mortality",v2007425,1.3.12.3,19.2
1996,Canada,0,Females,"Bronchitis, emphysema and asthma",Mortality,v2007426,1.3.13.1,4.5
1996,Canada,0,Females,"Bronchitis, emphysema and asthma","Low 95% confidence interval, mortality",v2007427,1.3.13.2,4.4
1996,Canada,0,Females,"Bronchitis, emphysema and asthma","High 95% confidence interval, mortality",v2007428,1.3.13.3,4.7
1996,Canada,0,Females,All other respiratory diseases,Mortality,v2007429,1.3.14.1,20.9
1996,Canada,0,Females,All other respiratory diseases,"Low 95% confidence interval, mortality",v2007430,1.3.14.2,20.5
1996,Canada,0,Females,All other respiratory diseases,"High 95% confidence interval, mortality",v2007431,1.3.14.3,21.3
1996,Canada,0,Females,Unintentional injuries,Mortality,v2007432,1.3.15.1,17.6
1996,Canada,0,Females,Unintentional injuries,"Low 95% confidence interval, mortality",v2007433,1.3.15.2,17.2
1996,Canada,0,Females,Unintentional injuries,"High 95% confidence interval, mortality",v2007434,1.3.15.3,18.0
1996,Canada,0,Females,Suicides and self-inflicted injuries,Mortality,v2007435,1.3.16.1,5.3
1996,Canada,0,Females,Suicides and self-inflicted injuries,"Low 95% confidence interval, mortality",v2007436,1.3.16.2,5.1
1996,Canada,0,Females,Suicides and self-inflicted injuries,"High 95% confidence interval, mortality",v2007437,1.3.16.3,5.5
1996,Canada,0,Females,Human immunodeficiency virus (HIV) infection,Mortality,v2007438,1.3.17.1,0.7
1996,Canada,0,Females,Human immunodeficiency virus (HIV) infection,"Low 95% confidence interval, mortality",v2007439,1.3.17.2,0.6
1996,Canada,0,Females,Human immunodeficiency virus (HIV) infection,"High 95% confidence interval, mortality",v2007440,1.3.17.3,0.8
1996,Newfoundland and Labrador,10,Both sexes,"Total, all causes of death",Mortality,v2007441,2.1.1.1,752.4
1996,Newfoundland and Labrador,10,Both sexes,"Total, all causes of death","Low 95% confidence interval, mortality",v2007442,2.1.1.2,739.4
1996,Newfoundland and Labrador,10,Both sexes,"Total, all causes of death","High 95% confidence interval, mortality",v2007443,2.1.1.3,765.3
1996,Newfoundland and Labrador,10,Both sexes,All malignant neoplasms (cancers),Mortality,v2007444,2.1.2.1,194.3
1996,Newfoundland and Labrador,10,Both sexes,All malignant neoplasms (cancers),"Low 95% confidence interval, mortality",v2007445,2.1.2.2,187.6
1996,Newfoundland and Labrador,10,Both sexes,All malignant neoplasms (cancers),"High 95% confidence interval, mortality",v2007446,2.1.2.3,201.1
1996,Newfoundland and Labrador,10,Both sexes,Colorectal cancer,Mortality,v2007447,2.1.3.1,19.4
1996,Newfoundland and Labrador,10,Both sexes,Colorectal cancer,"Low 95% confidence interval, mortality",v2007448,2.1.3.2,17.3
1996,Newfoundland and Labrador,10,Both sexes,Colorectal cancer,"High 95% confidence interval, mortality",v2007449,2.1.3.3,21.6
1996,Newfoundland and Labrador,10,Both sexes,Lung cancer,Mortality,v2007450,2.1.4.1,50.0
1996,Newfoundland and Labrador,10,Both sexes,Lung cancer,"Low 95% confidence interval, mortality",v2007451,2.1.4.2,46.5
1996,Newfoundland and Labrador,10,Both sexes,Lung cancer,"High 95% confidence interval, mortality",v2007452,2.1.4.3,53.4
1996,Newfoundland and Labrador,10,Both sexes,Female breast cancer,Mortality,v2007453,2.1.5.1,14.4
1996,Newfoundland and Labrador,10,Both sexes,Female breast cancer,"Low 95% confidence interval, mortality",v2007454,2.1.5.2,12.6
1996,Newfoundland and Labrador,10,Both sexes,Female breast cancer,"High 95% confidence interval, mortality",v2007455,2.1.5.3,16.3
1996,Newfoundland and Labrador,10,Both sexes,Prostate cancer,Mortality,v2007456,2.1.6.1,12.0
1996,Newfoundland and Labrador,10,Both sexes,Prostate cancer,"Low 95% confidence interval, mortality",v2007457,2.1.6.2,10.3
1996,Newfoundland and Labrador,10,Both sexes,Prostate cancer,"High 95% confidence interval, mortality",v2007458,2.1.6.3,13.7
1996,Newfoundland and Labrador,10,Both sexes,Circulatory diseases,Mortality,v2007459,2.1.7.1,320.6
1996,Newfoundland and Labrador,10,Both sexes,Circulatory diseases,"Low 95% confidence interval, mortality",v2007460,2.1.7.2,312.0
1996,Newfoundland and Labrador,10,Both sexes,Circulatory diseases,"High 95% confidence interval, mortality",v2007461,2.1.7.3,329.2
1996,Newfoundland and Labrador,10,Both sexes,Ischaemic heart diseases,Mortality,v2007462,2.1.8.1,176.6
1996,Newfoundland and Labrador,10,Both sexes,Ischaemic heart diseases,"Low 95% confidence interval, mortality",v2007463,2.1.8.2,170.2
1996,Newfoundland and Labrador,10,Both sexes,Ischaemic heart diseases,"High 95% confidence interval, mortality",v2007464,2.1.8.3,183.1
1996,Newfoundland and Labrador,10,Both sexes,All other circulatory diseases,Mortality,v2007465,2.1.9.1,81.5
1996,Newfoundland and Labrador,10,Both sexes,All other circulatory diseases,"Low 95% confidence interval, mortality",v2007466,2.1.9.2,77.0
1996,Newfoundland and Labrador,10,Both sexes,All other circulatory diseases,"High 95% confidence interval, mortality",v2007467,2.1.9.3,85.9
1996,Newfoundland and Labrador,10,Both sexes,Cerebrovascular diseases,Mortality,v2007468,2.1.10.1,62.5
1996,Newfoundland and Labrador,10,Both sexes,Cerebrovascular diseases,"Low 95% confidence interval, mortality",v2007469,2.1.10.2,58.6
1996,Newfoundland and Labrador,10,Both sexes,Cerebrovascular diseases,"High 95% confidence interval, mortality",v2007470,2.1.10.3,66.4
1996,Newfoundland and Labrador,10,Both sexes,Respiratory diseases (excluding infectious and parasitic diseases),Mortality,v2007471,2.1.11.1,56.9
1996,Newfoundland and Labrador,10,Both sexes,Respiratory diseases (excluding infectious and parasitic diseases),"Low 95% confidence interval, mortality",v2007472,2.1.11.2,53.2
1996,Newfoundland and Labrador,10,Both sexes,Respiratory diseases (excluding infectious and parasitic diseases),"High 95% confidence interval, mortality",v2007473,2.1.11.3,60.6
1996,Newfoundland and Labrador,10,Both sexes,Pneumonia and influenza,Mortality,v2007474,2.1.12.1,21.2
1996,Newfoundland and Labrador,10,Both sexes,Pneumonia and influenza,"Low 95% confidence interval, mortality",v2007475,2.1.12.2,18.9
1996,Newfoundland and Labrador,10,Both sexes,Pneumonia and influenza,"High 95% confidence interval, mortality",v2007476,2.1.12.3,23.5
1996,Newfoundland and Labrador,10,Both sexes,"Bronchitis, emphysema and asthma",Mortality,v2007477,2.1.13.1,4.0
1996,Newfoundland and Labrador,10,Both sexes,"Bronchitis, emphysema and asthma","Low 95% confidence interval, mortality",v2007478,2.1.13.2,3.0
1996,Newfoundland and Labrador,10,Both sexes,"Bronchitis, emphysema and asthma","High 95% confidence interval, mortality",v2007479,2.1.13.3,4.9
1996,Newfoundland and Labrador,10,Both sexes,All other respiratory diseases,Mortality,v2007480,2.1.14.1,31.7
1996,Newfoundland and Labrador,10,Both sexes,All other respiratory diseases,"Low 95% confidence interval, mortality",v2007481,2.1.14.2,29.0
1996,Newfoundland and Labrador,10,Both sexes,All other respiratory diseases,"High 95% confidence interval, mortality",v2007482,2.1.14.3,34.5
1996,Newfoundland and Labrador,10,Both sexes,Unintentional injuries,Mortality,v2007483,2.1.15.1,23.6
1996,Newfoundland and Labrador,10,Both sexes,Unintentional injuries,"Low 95% confidence interval, mortality",v2007484,2.1.15.2,21.2
1996,Newfoundland and Labrador,10,Both sexes,Unintentional injuries,"High 95% confidence interval, mortality",v2007485,2.1.15.3,25.9
1996,Newfoundland and Labrador,10,Both sexes,Suicides and self-inflicted injuries,Mortality,v2007486,2.1.16.1,7.3
1996,Newfoundland and Labrador,10,Both sexes,Suicides and self-inflicted injuries,"Low 95% confidence interval, mortality",v2007487,2.1.16.2,6.0
1996,Newfoundland and Labrador,10,Both sexes,Suicides and self-inflicted injuries,"High 95% confidence interval, mortality",v2007488,2.1.16.3,8.6
1996,Newfoundland and Labrador,10,Both sexes,Human immunodeficiency virus (HIV) infection,Mortality,v2007489,2.1.17.1,1.4
1996,Newfoundland and Labrador,10,Both sexes,Human immunodeficiency virus (HIV) infection,"Low 95% confidence interval, mortality",v2007490,2.1.17.2,0.8
1996,Newfoundland and Labrador,10,Both sexes,Human immunodeficiency virus (HIV) infection,"High 95% confidence interval, mortality",v2007491,2.1.17.3,2.0
1996,Newfoundland and Labrador,10,Males,"Total, all causes of death",Mortality,v2007492,2.2.1.1,969.9
1996,Newfoundland and Labrador,10,Males,"Total, all causes of death","Low 95% confidence interval, mortality",v2007493,2.2.1.2,947.4
1996,Newfoundland and Labrador,10,Males,"Total, all causes of death","High 95% confidence interval, mortality",v2007494,2.2.1.3,992.4
1996,Newfoundland and Labrador,10,Males,All malignant neoplasms (cancers),Mortality,v2007495,2.2.2.1,250.8
1996,Newfoundland and Labrador,10,Males,All malignant neoplasms (cancers),"Low 95% confidence interval, mortality",v2007496,2.2.2.2,239.2
1996,Newfoundland and Labrador,10,Males,All malignant neoplasms (cancers),"High 95% confidence interval, mortality",v2007497,2.2.2.3,262.5
1996,Newfoundland and Labrador,10,Males,Colorectal cancer,Mortality,v2007498,2.2.3.1,22.7
1996,Newfoundland and Labrador,10,Males,Colorectal cancer,"Low 95% confidence interval, mortality",v2007499,2.2.3.2,19.2
1996,Newfoundland and Labrador,10,Males,Colorectal cancer,"High 95% confidence interval, mortality",v2007500,2.2.3.3,26.2
1996,Newfoundland and Labrador,10,Males,Lung cancer,Mortality,v2007501,2.2.4.1,81.9
1996,Newfoundland and Labrador,10,Males,Lung cancer,"Low 95% confidence interval, mortality",v2007502,2.2.4.2,75.4
1996,Newfoundland and Labrador,10,Males,Lung cancer,"High 95% confidence interval, mortality",v2007503,2.2.4.3,88.5
1996,Newfoundland and Labrador,10,Males,Female breast cancer,Mortality,v2007504,2.2.5.1,0.0
1996,Newfoundland and Labrador,10,Males,Female breast cancer,"Low 95% confidence interval, mortality",v2007505,2.2.5.2,0.0
1996,Newfoundland and Labrador,10,Males,Female breast cancer,"High 95% confidence interval, mortality",v2007506,2.2.5.3,0.0
1996,Newfoundland and Labrador,10,Males,Prostate cancer,Mortality,v2007507,2.2.6.1,29.8
1996,Newfoundland and Labrador,10,Males,Prostate cancer,"Low 95% confidence interval, mortality",v2007508,2.2.6.2,25.5
1996,Newfoundland and Labrador,10,Males,Prostate cancer,"High 95% confidence interval, mortality",v2007509,2.2.6.3,34.1
1996,Newfoundland and Labrador,10,Males,Circulatory diseases,Mortality,v2007510,2.2.7.1,406.1
1996,Newfoundland and Labrador,10,Males,Circulatory diseases,"Low 95% confidence interval, mortality",v2007511,2.2.7.2,390.9
1996,Newfoundland and Labrador,10,Males,Circulatory diseases,"High 95% confidence interval, mortality",v2007512,2.2.7.3,421.3
1996,Newfoundland and Labrador,10,Males,Ischaemic heart diseases,Mortality,v2007513,2.2.8.1,238.1
1996,Newfoundland and Labrador,10,Males,Ischaemic heart diseases,"Low 95% confidence interval, mortality",v2007514,2.2.8.2,226.4
1996,Newfoundland and Labrador,10,Males,Ischaemic heart diseases,"High 95% confidence interval, mortality",v2007515,2.2.8.3,249.8
1996,Newfoundland and Labrador,10,Males,All other circulatory diseases,Mortality,v2007516,2.2.9.1,97.8
1996,Newfoundland and Labrador,10,Males,All other circulatory diseases,"Low 95% confidence interval, mortality",v2007517,2.2.9.2,90.1
1996,Newfoundland and Labrador,10,Males,All other circulatory diseases,"High 95% confidence interval, mortality",v2007518,2.2.9.3,105.5
1996,Newfoundland and Labrador,10,Males,Cerebrovascular diseases,Mortality,v2007519,2.2.10.1,70.2
1996,Newfoundland and Labrador,10,Males,Cerebrovascular diseases,"Low 95% confidence interval, mortality",v2007520,2.2.10.2,63.6
1996,Newfoundland and Labrador,10,Males,Cerebrovascular diseases,"High 95% confidence interval, mortality",v2007521,2.2.10.3,76.7
1996,Newfoundland and Labrador,10,Males,Respiratory diseases (excluding infectious and parasitic diseases),Mortality,v2007522,2.2.11.1,90.3
1996,Newfoundland and Labrador,10,Males,Respiratory diseases (excluding infectious and parasitic diseases),"Low 95% confidence interval, mortality",v2007523,2.2.11.2,82.8
1996,Newfoundland and Labrador,10,Males,Respiratory diseases (excluding infectious and parasitic diseases),"High 95% confidence interval, mortality",v2007524,2.2.11.3,97.9
1996,Newfoundland and Labrador,10,Males,Pneumonia and influenza,Mortality,v2007525,2.2.12.1,33.4
1996,Newfoundland and Labrador,10,Males,Pneumonia and influenza,"Low 95% confidence interval, mortality",v2007526,2.2.12.2,28.6
1996,Newfoundland and Labrador,10,Males,Pneumonia and influenza,"High 95% confidence interval, mortality",v2007527,2.2.12.3,38.2
1996,Newfoundland and Labrador,10,Males,"Bronchitis, emphysema and asthma",Mortality,v2007528,2.2.13.1,5.8
1996,Newfoundland and Labrador,10,Males,"Bronchitis, emphysema and asthma","Low 95% confidence interval, mortality",v2007529,2.2.13.2,4.1
1996,Newfoundland and Labrador,10,Males,"Bronchitis, emphysema and asthma","High 95% confidence interval, mortality",v2007530,2.2.13.3,7.6
